,Treshold,PDB,Chain,N,Res,Rfac,Method,N_sc,N_bb,N_naa,N_hlx,N_beta,Compound,k,Ratio,N_pdb,N_nc,Domains,sigma,a0
745,25,1JF3,A,147,1.40,0.19,X,147,147,0,112,0,' monomer hemoglobin component iii',3.5700018802,61.1674670341,147.0,430.0,1.0,6.3,3.8
746,25,1Z1S,A,136,1.49,0.17,X,136,136,0,36,53,' hypothetical protein pa3332',2.58379898568,44.2701277431,136.0,387.0,1.0,6.3,3.8
747,25,2BO9,B,217,1.60,0.15,X,217,217,0,52,95,' human latexin',3.66604629252,62.8130665664,217.0,621.0,2.0,6.3,3.8
748,25,3VA4,B,108,1.54,0.16,X,108,108,0,0,47,' mediator of DNA damage checkpoint protein 1',1.98820824864,34.0654337412,108.0,310.0,1000.0,6.3,3.8
749,25,3F8X,C,131,1.55,0.16,X,131,131,4,53,50,' putative delta-5-3-ketosteroid isomerase',2.89840360621,49.6604800175,131.0,363.0,1000.0,6.3,3.8
750,25,153L,A,185,1.60,0.15,X,185,185,0,103,8,' goose lysozyme',3.6503514404,62.5441551254,185.0,595.0,1.0,6.3,3.8
751,25,2XEU,A,64,1.50,0.17,X,64,64,0,16,14,' ring finger protein 4',1.99253017153,34.1394844236,64.0,148.0,1000.0,6.3,3.8
752,25,2X32,A,174,1.55,0.16,X,174,174,0,32,86,' cellulose-binding protein',2.93585234853,50.3021168536,174.0,510.0,1.0,6.3,3.8
753,25,3E7A,A,293,1.63,0.14,X,293,293,0,102,56,' serine/threonine-protein phosphatase pp1-alpha catalytic subunit',4.29115194639,73.5234613389,293.0,949.0,1.0,6.3,3.8
754,25,3AIA,A,200,1.40,0.19,X,200,200,0,71,51,' upf0217 protein mj1640',3.59185649442,61.541918208,200.0,582.0,1.0,6.3,3.8
755,25,1PKH,A,182,1.42,0.19,X,182,182,0,27,77,' bifunctional deaminase/diphosphatase',3.15998685064,54.1423780716,182.0,490.0,1.0,6.3,3.8
756,25,1RYQ,A,65,1.38,0.19,X,62,62,1,9,23,"' DNA-directed RNA polymerase, subunit e'''",1.35935715337,23.2908655671,64.0,171.0,1.0,6.3,3.8
757,25,1GVD,A,52,1.45,0.18,X,52,52,0,29,0,' myb proto-oncogene protein',2.24577386734,38.4784948597,52.0,113.0,1.0,6.3,3.8
758,25,3RTL,A,114,1.45,0.18,X,114,114,0,11,68,' iron-regulated surface determinant protein b',2.28730562537,39.190089006,114.0,291.0,1.0,6.3,3.8
759,25,3VMX,A,48,1.45,0.18,X,48,48,0,42,0,' voltage-gated hydrogen channel 1',3.78922823531,64.923633361,48.0,91.0,1000.0,6.3,3.8
760,25,3HLZ,A,268,1.50,0.17,X,268,268,5,95,88,' uncharacterized protein bt_1490',5.06428198209,86.7700666794,268.0,732.0,2.0,6.3,3.8
761,25,3ES4,A,116,1.64,0.14,X,116,116,4,0,61,' uncharacterized protein duf861 with a rmlc-like cupin fold',1.98136093776,33.9481137294,116.0,311.0,1000.0,6.3,3.8
762,25,1VKE,A,118,1.56,0.16,X,116,117,1,88,0,' carboxymuconolactone decarboxylase family protein',4.28481896443,73.4149537028,117.0,282.0,1.0,6.3,3.8
763,25,3JU0,A,95,1.60,0.15,X,95,95,0,32,30,' phage integrase',2.92785355451,50.1650676347,95.0,217.0,1000.0,6.3,3.8
764,25,2BFC,B,333,1.64,0.14,X,332,332,1,135,65,' 2-oxoisovalerate dehydrogenase beta subunit',4.5188914654,77.4254899621,332.0,1088.0,2.0,6.3,3.8
765,25,3D0J,A,138,1.53,0.17,X,138,138,5,20,64,' uncharacterized protein ca_c3497',2.58434096814,44.279413927,138.0,359.0,1.0,6.3,3.8
766,25,1IQQ,A,200,1.50,0.17,X,200,200,0,59,41,' s3-rnase',3.82146767606,65.4760154031,200.0,559.0,1.0,6.3,3.8
767,25,2GPI,A,91,1.60,0.15,X,91,91,2,31,25,' conserved hypothetical protein',2.59169536603,44.4054222333,91.0,215.0,1.0,6.3,3.8
768,25,3TWE,A,26,1.36,0.20,X,26,26,0,24,0,' alpha4h',2.07319885971,35.5216403693,26.0,45.0,1000.0,6.3,3.8
769,25,3PA3,A,260,1.40,0.19,X,258,258,1,85,56,' serine/threonine-protein kinase chk1',4.83238576211,82.7968182424,259.0,709.0,2.0,6.3,3.8
770,25,3LJW,B,120,1.50,0.17,X,120,120,0,78,2,' protein polybromo-1',4.27042287901,73.1682949867,120.0,281.0,1.0,6.3,3.8
771,25,2ORW,B,175,1.50,0.17,X,173,173,2,51,49,' thymidine kinase',3.02929606404,51.9031567353,173.0,505.0,2.0,6.3,3.8
772,25,3PC7,A,81,1.65,0.14,X,81,81,1,26,10,' DNA ligase 3',2.21118892411,37.8859255991,81.0,190.0,1000.0,6.3,3.8
773,25,3KGK,A,93,1.40,0.19,X,92,92,1,40,19,' arsenical resistance operon trans-acting repressor arsd',2.84495171182,48.7446494108,92.0,211.0,1000.0,6.3,3.8
774,25,3JSC,A,97,1.50,0.17,X,96,96,1,29,38,' ccdb',2.06503134709,35.3817003706,96.0,253.0,1.0,6.3,3.8
775,25,1VYI,A,111,1.50,0.17,X,111,111,0,67,10,' RNA polymerase alpha subunit',3.59599365602,61.6128032395,111.0,261.0,1.0,6.3,3.8
776,25,1C4Q,A,69,1.52,0.17,X,69,69,0,11,33,' protein (shiga-like toxin i subunit b)',1.43014750523,24.5037687137,69.0,187.0,1.0,6.3,3.8
777,25,1JI7,C,85,1.45,0.18,X,85,85,1,51,0,' ets-related protein tel1',3.31855910153,56.8593130354,85.0,187.0,1.0,6.3,3.8
778,25,2NUH,A,104,1.39,0.20,X,104,104,0,38,39,' periplasmic divalent cation tolerance protein',2.10345200165,36.0399896936,104.0,289.0,1.0,6.3,3.8
779,25,1T6F,A,37,1.47,0.18,X,37,37,0,33,0,' geminin',3.13977117932,53.7960081116,37.0,66.0,1000.0,6.3,3.8
780,25,4DZN,A,32,1.59,0.16,X,32,32,1,30,0,' coiled-coil peptide cc-pil',2.63218177353,45.0991056203,32.0,57.0,1000.0,6.3,3.8
781,25,1I3K,A,347,1.50,0.17,X,347,347,0,135,64,' udp-glucose 4-epimerase',5.27649603054,90.4060860005,347.0,1053.0,2.0,6.3,3.8
782,25,3N1F,C,95,1.60,0.16,X,94,94,1,3,47,' cell adhesion molecule-related/down-regulated by oncogenes',1.58416056378,27.1425876829,95.0,270.0,1.0,6.3,3.8
783,25,2IC2,A,106,1.30,0.22,X,104,104,5,0,55,' cg9211-pa',1.9280862442,33.0353192347,104.0,267.0,1000.0,6.3,3.8
784,25,3TIO,A,176,1.41,0.19,X,176,176,0,23,71,' protein yrda',2.0985024152,35.9551847899,176.0,668.0,1000.0,6.3,3.8
785,25,2G7O,A,68,1.40,0.19,X,68,68,0,52,0,' protein tram',5.42998421701,93.0359119505,68.0,118.0,1000.0,6.3,3.8
786,25,2IMS,A,163,1.48,0.18,X,163,163,4,121,0,' apoptosis regulator bak',4.32384208144,74.083565458,163.0,438.0,1000.0,6.3,3.8
787,25,2PYQ,A,114,1.50,0.18,X,114,114,6,69,2,' uncharacterized protein',4.09037210989,70.0833527782,114.0,257.0,1.0,6.3,3.8
788,25,2B0A,A,186,1.45,0.19,X,186,186,0,37,63,' hypothetical protein mj0783',3.28317152918,56.2529917398,186.0,513.0,1.0,6.3,3.8
789,25,1HLQ,C,74,1.45,0.19,X,74,74,0,15,10,' high-potential iron-sulfur protein',1.73765147359,29.772460294,74.0,192.0,1.0,6.3,3.8
790,25,2ION,A,129,1.57,0.16,X,129,129,0,99,0,"' programmed cell death 4, pdcd4'",4.44261066321,76.1185148933,129.0,309.0,1000.0,6.3,3.8
791,25,2OLM,A,133,1.48,0.18,X,133,133,0,64,9,' nucleoporin-like protein rip',3.56454122485,61.073905611,133.0,339.0,1.0,6.3,3.8
792,25,2XIW,A,64,1.50,0.18,X,64,64,1,19,35,' DNA-binding protein 7d',1.82501664157,31.2693519516,64.0,150.0,1.0,6.3,3.8
793,25,1GUG,A,67,1.60,0.16,X,67,67,0,13,35,' molybdate binding protein ii',1.73762246178,29.7719632132,67.0,147.0,1.0,6.3,3.8
794,25,2FOM,A,47,1.50,0.18,X,46,46,1,6,10,' polyprotein',5.73986027598,98.3452463033,46.0,35.0,1000.0,6.3,3.8
795,25,3MZ2,A,285,1.55,0.17,X,285,285,11,109,55,' glycerophosphoryl diester phosphodiesterase',4.29230646192,73.5432425023,285.0,916.0,1000.0,6.3,3.8
796,25,1Y43,A,32,1.40,0.20,X,32,32,0,0,20,' aspergillopepsin ii light chain',0.121462225901,2.08110162068,32.0,455.0,1000.0,6.3,3.8
797,25,3DKM,A,79,1.60,0.16,X,79,79,0,11,24,' e3 ubiquitin-protein ligase hectd1',1.71819511667,29.4391002256,79.0,211.0,1000.0,6.3,3.8
798,25,3T8J,A,311,1.60,0.16,X,311,311,0,124,56,"' purine nucleosidase, (iunh-1)'",4.35372011366,74.5954877516,311.0,1025.0,1000.0,6.3,3.8
799,25,1GK7,A,39,1.40,0.20,X,39,39,0,35,0,' vimentin',3.26231598053,55.895658291,39.0,71.0,1000.0,6.3,3.8
800,25,3NO7,B,59,1.40,0.20,X,59,59,0,38,3,' putative plasmid related protein',4.48630855378,76.867222981,59.0,101.0,1000.0,6.3,3.8
801,25,1BGF,A,124,1.45,0.19,X,124,124,0,98,2,' stat-4',4.31386477197,73.9126168791,124.0,294.0,1.0,6.3,3.8
802,25,3LDC,A,82,1.45,0.19,X,82,82,0,64,0,' calcium-gated potassium channel mthk',2.93182084835,50.2330421969,82.0,203.0,1000.0,6.3,3.8
803,25,2R6U,B,124,1.50,0.18,X,123,123,1,22,53,' uncharacterized protein',2.58868179801,44.3537885567,123.0,327.0,1.0,6.3,3.8
804,25,3BHD,A,212,1.50,0.18,X,211,211,4,73,74,' thiamine triphosphatase',4.29265846123,73.5492735653,211.0,565.0,1.0,6.3,3.8
805,25,1GNY,A,153,1.63,0.15,X,153,153,0,9,79,' xylanase 10c',2.2727216086,38.9402103239,153.0,465.0,1.0,6.3,3.8
806,25,3L46,B,95,1.48,0.18,X,95,95,0,22,16,' protein ect2',2.10393259504,36.0482240536,95.0,248.0,1.0,6.3,3.8
807,25,2DC3,B,168,1.68,0.14,X,168,168,0,128,0,' cytoglobin',5.20417028682,89.1668758564,168.0,427.0,1.0,6.3,3.8
808,25,3KEO,A,207,1.50,0.18,X,206,206,1,90,35,' redox-sensing transcriptional repressor rex',4.64130917008,79.5229625033,206.0,529.0,1000.0,6.3,3.8
809,25,3HLP,A,303,1.60,0.16,X,303,303,0,112,54,' carboxypeptidase a1 (pancreatic)',4.39752957721,75.3461075013,303.0,987.0,1000.0,6.3,3.8
810,25,3FJU,B,65,1.60,0.16,X,65,65,0,18,14,' carboxypeptidase a inhibitor',1.73574677697,29.7398257264,65.0,171.0,1000.0,6.3,3.8
811,25,3NFK,B,92,1.43,0.19,X,91,91,1,16,32,' tyrosine-protein phosphatase non-receptor type 4',1.75954836775,30.1476358811,91.0,261.0,1.0,6.3,3.8
812,25,2P14,A,186,1.50,0.18,X,186,186,0,89,32,' heterodimeric restriction endonuclease r.Bspd6i small subunit',4.01361765074,68.7682621964,186.0,502.0,1.0,6.3,3.8
813,25,3ML1,B,111,1.60,0.16,X,109,109,2,21,11,' diheme cytochrome c napb',5.40514587236,92.6103383294,109.0,158.0,1.0,6.3,3.8
814,25,2ARC,A,161,1.50,0.18,X,161,161,0,41,55,' arabinose operon regulatory protein',2.93123271967,50.2229653558,161.0,456.0,1.0,6.3,3.8
815,25,3Q64,A,155,1.50,0.18,X,155,155,3,42,69,' mll3774 protein',2.98136742963,51.0819602028,155.0,442.0,1000.0,6.3,3.8
816,25,1ZMH,A,29,1.50,0.18,X,29,29,1,0,16,' neutrophil defensin 2',0.718491663956,12.3104459449,29.0,64.0,1000.0,6.3,3.8
817,25,2IP6,A,87,1.35,0.21,X,87,87,0,67,0,' papb',2.8967631249,49.6323724451,87.0,220.0,1000.0,6.3,3.8
818,25,3TN2,A,68,1.60,0.16,X,68,68,0,14,17,' c-c motif chemokine 4',1.69900615405,29.1103216205,68.0,169.0,1000.0,6.3,3.8
819,25,4DRR,A,163,1.50,0.18,X,163,163,0,13,91,' outer capsid protein vp4',2.62353308028,44.9509211999,163.0,482.0,1000.0,6.3,3.8
820,25,3A2Z,A,190,1.50,0.18,X,190,190,0,0,0,' bifunctional glutathionylspermidine synthetase/amidase',3.32323306313,56.9393954561,190.0,543.0,1.0,6.3,3.8
821,25,3T92,A,114,1.50,0.18,X,113,113,1,77,0,' histone acetyltransferase p300 taz2-ccaat/enhancer-binding protein epsilon',5.01559881835,85.9359422411,113.0,239.0,1000.0,6.3,3.8
822,25,1TC1,A,176,1.41,0.20,X,175,175,1,43,59,' protein (hypoxanthine phosphoribosyltransferase)',3.2561833894,55.7905840982,175.0,492.0,1.0,6.3,3.8
823,25,3EW0,A,77,1.40,0.20,X,76,77,0,12,14,' cdgsh iron sulfur domain-containing protein 1',3.43373409678,58.8326909108,77.0,117.0,1000.0,6.3,3.8
824,25,4G3O,A,53,1.60,0.16,X,53,53,0,41,0,' e3 ubiquitin-protein ligase amfr',2.49533922091,42.7544815538,53.0,118.0,1000.0,6.3,3.8
825,25,4ERR,A,82,1.55,0.17,X,82,82,0,69,0,' autotransporter adhesin',3.01071140599,51.5847321247,82.0,202.0,1000.0,6.3,3.8
826,25,1NC7,D,117,1.55,0.17,X,117,117,6,3,75,' hypothetical protein tm1070',1.90341546374,32.612616614,117.0,332.0,1.0,6.3,3.8
827,25,2XZ2,A,66,1.40,0.20,X,66,66,0,45,0,"' cstf-50, isoform b'",2.80600149347,48.0772866819,66.0,136.0,1000.0,6.3,3.8
828,25,3O79,B,105,1.60,0.16,X,105,105,0,67,4,' rabbit prp',3.53113102371,60.5014640702,105.0,235.0,1.0,6.3,3.8
829,25,2C6U,A,122,1.60,0.16,X,121,122,0,24,43,' clec1b protein',2.45291845474,42.0276553774,122.0,332.0,1.0,6.3,3.8
830,25,1BTE,A,93,1.50,0.18,X,91,91,1,7,41,' protein (activin receptor type ii)',1.54347613018,26.4455113691,92.0,271.0,1.0,6.3,3.8
831,25,3HPC,X,155,1.47,0.19,X,155,155,0,77,27,' snx5 protein',4.61808937167,79.1251206248,155.0,345.0,1.0,6.3,3.8
832,25,3H79,A,115,1.50,0.18,X,115,115,0,40,23,' thioredoxin-like protein',2.58123026212,44.2261159135,115.0,309.0,1.0,6.3,3.8
833,25,2C3V,B,95,1.39,0.20,X,93,94,1,3,45,' alpha-amylase g-6',1.90600258007,32.6569435802,94.0,238.0,1000.0,6.3,3.8
834,25,2ZDP,A,110,1.50,0.18,X,110,110,0,23,43,' heme-degrading monooxygenase isdi',2.55699989543,43.810959226,110.0,260.0,1.0,6.3,3.8
835,25,2I5U,A,77,1.50,0.18,X,77,77,2,55,0,' dnad domain protein',2.77932995619,47.6203036236,77.0,193.0,1.0,6.3,3.8
836,25,2B0P,A,129,1.50,0.18,X,129,129,0,13,56,' glycyl-glycine endopeptidase lytm',2.01191465082,34.4716129596,129.0,410.0,1.0,6.3,3.8
837,25,1NYC,A,111,1.40,0.20,X,111,111,0,11,61,' cysteine protease inhibitor',2.35396497451,40.3322126457,111.0,282.0,1.0,6.3,3.8
838,25,1Z0N,B,80,1.49,0.18,X,80,80,1,0,47,"' 5'-amp-activated protein kinase, beta-1 subunit'",1.51676346093,25.9878235666,80.0,219.0,1.0,6.3,3.8
839,25,3ONH,A,113,1.60,0.16,X,113,113,0,18,41,' ubiquitin-activating enzyme e1-like',2.08582778919,35.7380211035,113.0,318.0,1000.0,6.3,3.8
840,25,2DWU,A,265,1.60,0.16,X,265,265,0,129,47,' glutamate racemase',4.26960488383,73.1542796738,266.0,831.0,2.0,6.3,3.8
841,25,3NPD,A,113,1.60,0.16,X,113,113,2,51,34,' putative secreted protein',2.65738925674,45.5310039639,113.0,311.0,1000.0,6.3,3.8
842,25,1HZT,A,153,1.45,0.19,X,153,153,0,43,49,' isopentenyl diphosphate delta-isomerase',2.7996715312,47.9688307842,153.0,445.0,1.0,6.3,3.8
843,25,3R62,B,127,1.52,0.18,X,127,127,0,7,48,' complement factor h',2.31864817343,39.7271039263,127.0,337.0,1000.0,6.3,3.8
844,25,3V3L,B,85,1.65,0.15,X,85,85,2,12,38,' e3 ubiquitin-protein ligase rnf146',2.38017690457,40.7813209156,85.0,192.0,1000.0,6.3,3.8
845,25,1W2Y,B,212,1.65,0.15,X,209,209,3,138,6,' deoxyuridine 5'-triphosphate nucleotide hydrolase',5.73849094958,98.3217846272,209.0,531.0,1.0,6.3,3.8
846,25,2BSC,A,167,1.40,0.20,X,164,164,3,3,95,' f17a-g adhesin',2.3218662603,39.7822417747,164.0,505.0,1.0,6.3,3.8
847,25,3F6Q,B,72,1.60,0.16,X,72,72,0,10,21,' lim and senescent cell antigen-like-containing domain protein 1',2.10195581339,36.0143544001,72.0,164.0,1000.0,6.3,3.8
848,25,3G9Y,A,29,1.40,0.20,X,29,29,0,0,6,' zinc finger ran-binding domain-containing protein 2',1.06085806805,18.1764612688,29.0,55.0,1000.0,6.3,3.8
849,25,2F9H,B,119,1.57,0.17,X,119,119,2,18,43,"' pts system, iia component'",1.92036922527,32.9030978755,119.0,365.0,1.0,6.3,3.8
850,25,2XST,A,150,1.63,0.16,X,149,149,1,32,67,' lipocalin 15',2.79239096345,47.844087464,149.0,424.0,1000.0,6.3,3.8
851,25,4E2U,A,168,1.58,0.17,X,168,168,0,15,98,' pho rada intein',2.79657064393,47.9157010027,168.0,492.0,1000.0,6.3,3.8
852,25,3UWS,A,124,1.70,0.14,X,124,124,4,36,46,' hypothetical protein',2.84907702735,48.815331475,124.0,307.0,1000.0,6.3,3.8
853,25,4A6H,D,107,1.45,0.19,X,106,106,1,18,44,"' phosphatidylinositol 4,5-bisphosphate-binding protein slm1'",2.25392829774,38.6182107113,106.0,286.0,1000.0,6.3,3.8
854,25,2NL9,A,143,1.55,0.17,X,142,142,3,109,0,' fusion protein consisting of induced myeloid leukemia cell differentiation protein mcl-1 homolog',4.33137004019,74.2125475102,142.0,363.0,1.0,6.3,3.8
855,25,2QEU,A,132,1.65,0.15,X,132,132,5,106,0,' putative carboxymuconolactone decarboxylase',3.67645370405,62.9913844,132.0,371.0,1.0,6.3,3.8
856,25,3BE4,A,216,1.60,0.16,X,215,215,1,105,35,' adenylate kinase',4.55321838415,78.0136382998,215.0,601.0,1.0,6.3,3.8
857,25,3KGR,B,97,1.80,0.12,X,97,97,0,3,53,' leukocyte-associated immunoglobulin-like receptor 1',1.62931128602,27.9161882039,98.0,289.0,1000.0,6.3,3.8
858,25,2OHW,A,128,1.40,0.20,X,128,128,0,0,0,' yuei protein',2.74177637499,46.9768705058,128.0,339.0,1.0,6.3,3.8
859,25,2DS5,B,44,1.50,0.19,X,44,44,0,12,10,' atp-dependent clp protease atp-binding subunit clpx',1.65706205727,28.3916625712,45.0,95.0,1000.0,6.3,3.8
860,25,2I53,A,254,1.50,0.19,X,254,254,0,160,2,' cyclin k',5.70485171924,97.7454189607,254.0,700.0,1000.0,6.3,3.8
861,25,1F7L,A,118,1.50,0.19,X,118,118,0,47,41,' holo-(acyl carrier protein) synthase',2.5335578151,43.409308828,120.0,342.0,1.0,6.3,3.8
862,25,1TP6,A,126,1.50,0.19,X,126,126,0,35,59,' hypothetical protein pa1314',2.72288458471,46.653183573,126.0,338.0,1.0,6.3,3.8
863,25,4FBS,A,121,1.70,0.14,X,120,120,1,92,0,' major ampullate spidroin 1',3.33459901227,57.1341366194,120.0,330.0,1000.0,6.3,3.8
864,25,3UUW,A,304,1.63,0.16,X,304,304,0,118,83,' putative oxidoreductase with nad(p)-binding rossmann-fold domain',4.9842424067,85.3986897858,304.0,901.0,1000.0,6.3,3.8
865,25,2PV1,A,103,1.30,0.23,X,103,103,0,39,31,' chaperone sura',2.18241468218,37.3929153559,103.0,290.0,1000.0,6.3,3.8
866,25,3NRF,B,103,1.50,0.19,X,103,103,1,8,60,' apag protein',1.80759874667,30.9709183518,103.0,282.0,1000.0,6.3,3.8
867,25,1NNX,A,94,1.45,0.20,X,93,93,1,7,47,' protein ygiw',1.91806877156,32.8636825108,93.0,236.0,1.0,6.3,3.8
868,25,2Y27,A,425,1.60,0.17,X,425,425,10,151,99,' phenylacetate-coenzyme a ligase',5.94068075004,101.786051137,425.0,1314.0,1000.0,6.3,3.8
869,25,3H5Z,A,411,1.49,0.19,X,411,411,0,137,114,' glycylpeptide n-tetradecanoyltransferase',6.64776931575,113.901119416,411.0,1134.0,1000.0,6.3,3.8
870,25,2EHP,A,124,1.30,0.23,X,124,124,1,43,25,' aq_1627 protein',2.46392019201,42.2161562309,124.0,364.0,1000.0,6.3,3.8
871,25,1H98,A,77,1.64,0.16,X,77,77,0,27,12,' ferredoxin',1.88838343691,32.3550618462,77.0,196.0,1.0,6.3,3.8
872,25,1SMO,A,113,1.47,0.19,X,113,113,0,7,54,' triggering receptor expressed on myeloid cells 1',2.08810933829,35.7771125617,113.0,307.0,1.0,6.3,3.8
873,25,1I1J,A,106,1.39,0.21,X,104,106,0,6,42,' melanoma derived growth regulatory protein',1.92800432963,33.0339157322,106.0,292.0,1.0,6.3,3.8
874,25,6RLX,B,27,1.50,0.19,X,27,27,0,17,2,"' relaxin, b-chain'",3.00377653134,51.4659118186,27.0,33.0,1000.0,6.3,3.8
875,25,3DKR,A,241,1.60,0.17,X,241,241,0,112,37,' esterase d',3.89930214311,66.8096105544,241.0,753.0,1.0,6.3,3.8
876,25,3OBQ,A,141,1.40,0.21,X,141,141,0,39,42,' tumor susceptibility gene 101 protein',3.20971236274,54.9943618308,141.0,372.0,1.0,6.3,3.8
877,25,1C8R,A,223,1.80,0.13,X,222,222,1,169,12,' protein (bacteriorhodopsin)',4.97223065794,85.1928836626,222.0,654.0,1.0,6.3,3.8
878,25,1P0Z,A,131,1.60,0.17,X,131,131,0,49,39,' sensor kinase cita',2.65140676123,45.4285014697,132.0,391.0,1.0,6.3,3.8
879,25,2GMY,A,147,1.60,0.17,X,147,147,0,109,0,' hypothetical protein atu0492',4.44417126971,76.1452539119,147.0,372.0,1.0,6.3,3.8
880,25,1N7S,B,68,1.45,0.20,X,68,68,0,63,0,' syntaxin 1a',6.00520472788,102.89158789,68.0,121.0,1.0,6.3,3.8
881,25,1N7S,D,66,1.45,0.20,X,66,66,0,60,0,' snap-25a',6.10166274168,104.544273961,66.0,121.0,1.0,6.3,3.8
882,25,1QTP,A,247,1.60,0.17,X,247,247,4,48,107,' ap-2 clathrin adaptor alpha subunit (alpha- adaptin c)',3.9474805149,67.6350860211,247.0,704.0,2.0,6.3,3.8
883,25,3GVO,A,342,1.60,0.17,X,342,342,0,250,4,' pumilio homolog 2',6.65400997581,114.008045233,342.0,1001.0,1.0,6.3,3.8
884,25,1SHU,X,181,1.50,0.19,X,181,181,0,86,42,' anthrax toxin receptor 2',3.16628286993,54.2502523993,181.0,556.0,1.0,6.3,3.8
885,25,3L1W,A,252,1.60,0.17,X,252,252,3,63,88,' uncharacterized protein',3.58935665278,61.4990865832,252.0,794.0,1.0,6.3,3.8
886,25,1T60,C,223,1.50,0.19,X,223,223,0,16,100,' type iv collagen',3.33888551493,57.2075804211,223.0,659.0,1.0,6.3,3.8
887,25,1ZBF,A,132,1.50,0.19,X,132,132,0,47,30,' ribonuclease h-related protein',2.65826275112,45.5459701853,132.0,365.0,1.0,6.3,3.8
888,25,3FH1,A,122,1.60,0.17,X,122,122,4,36,53,' uncharacterized ntf2-like protein',2.34826010269,40.2344668823,122.0,364.0,1000.0,6.3,3.8
889,25,1B67,A,68,1.48,0.19,X,68,68,0,49,4,' protein (histone hmfa)',3.08400552601,52.8405341721,68.0,146.0,1.0,6.3,3.8
890,25,3BCW,B,119,1.60,0.17,X,119,119,2,0,71,' uncharacterized protein',1.93863829935,33.2161153539,119.0,335.0,1.0,6.3,3.8
891,25,3EJF,A,166,1.60,0.17,X,166,166,0,67,34,' non-structural protein 3',3.38568466297,58.0094246332,166.0,457.0,1000.0,6.3,3.8
892,25,2QG6,A,183,1.50,0.19,X,182,182,7,85,31,' nicotinamide riboside kinase 1',4.58604478992,78.5760772452,182.0,434.0,1.0,6.3,3.8
893,25,2EIX,A,243,1.56,0.18,X,243,243,0,59,86,' nadh-cytochrome b5 reductase',4.20867858878,72.110384665,243.0,654.0,1000.0,6.3,3.8
894,25,3EK3,A,187,1.70,0.15,X,187,187,3,74,29,' nitroreductase',3.93667274458,67.4499085458,187.0,486.0,1000.0,6.3,3.8
895,25,1M65,A,235,1.57,0.18,X,234,234,1,91,42,' hypothetical protein ycdx',3.51035018761,60.1454107264,234.0,756.0,1.0,6.3,3.8
896,25,1U69,C,149,1.60,0.17,X,148,148,5,54,47,' hypothetical protein',2.90586838668,49.7883795898,148.0,430.0,1.0,6.3,3.8
897,25,3TX2,A,247,1.50,0.19,X,247,247,0,91,48,' probable 6-phosphogluconolactonase',3.77878761946,64.7447466131,247.0,804.0,1000.0,6.3,3.8
898,25,3BWV,B,169,1.55,0.18,X,168,168,7,69,30,' putative 5'(3')-deoxyribonucleotidase',3.88417140964,66.5503645731,168.0,428.0,2.0,6.3,3.8
899,25,1YYA,A,250,1.60,0.17,X,250,250,0,115,39,' triosephosphate isomerase',3.91175800604,67.0230260121,250.0,791.0,1.0,6.3,3.8
900,25,3S9J,A,362,1.75,0.14,X,362,362,9,21,163,' member of duf4221 family',4.88671785328,83.7277299077,362.0,1097.0,1000.0,6.3,3.8
901,25,1X46,A,150,1.50,0.19,X,150,150,0,109,0,' hemoglobin component vii',4.59697924462,78.7634252971,150.0,378.0,1.0,6.3,3.8
902,25,2P17,A,249,1.52,0.19,X,249,249,8,10,144,' pirin-like protein',3.07988781523,52.7699824058,249.0,812.0,1.0,6.3,3.8
903,25,4AS4,A,274,1.70,0.15,X,274,274,0,0,0,' inositol monophosphatase 1',4.03841918946,69.1932051945,274.0,897.0,1000.0,6.3,3.8
904,25,4EQA,C,150,1.60,0.17,X,150,150,0,7,78,' putative uncharacterized protein',2.62793002654,45.0262573131,150.0,438.0,1000.0,6.3,3.8
905,25,1IOO,A,196,1.55,0.19,X,196,196,0,68,37,' sf11-rnase',3.74573960959,64.1785107617,196.0,545.0,1.0,6.3,3.8
906,25,2OH5,A,247,1.98,0.10,X,247,247,0,60,76,' polyhedrin',4.4350865187,75.9895981933,247.0,695.0,1000.0,6.3,3.8
907,25,1YD3,A,90,1.60,0.17,X,90,90,0,42,21,' uvrabc system protein c',2.07169056652,35.4957976732,90.0,241.0,1.0,6.3,3.8
908,25,2O6P,B,119,1.50,0.19,X,119,119,0,8,77,' iron-regulated surface determinant protein c',2.1313871471,36.5186230798,119.0,328.0,1000.0,6.3,3.8
909,25,1P5Z,B,230,1.60,0.17,X,229,229,1,133,26,' deoxycytidine kinase',5.63016407112,96.465740572,229.0,583.0,1.0,6.3,3.8
910,25,1MTP,B,35,1.50,0.19,X,35,35,0,0,19,"' serine proteinase inhibitor (serpin), chain b'",2.09446319414,35.8859778455,35.0,38.0,1.0,6.3,3.8
911,25,2PN6,A,151,1.44,0.21,X,151,151,0,56,30,' 150aa long hypothetical transcriptional regulator',4.16570663161,71.374114528,151.0,348.0,2.0,6.3,3.8
912,25,1IFR,A,113,1.40,0.22,X,113,113,0,0,54,' lamin a/c',1.89594929195,32.4846932033,113.0,337.0,1.0,6.3,3.8
913,25,3B4Q,B,90,1.55,0.19,X,90,90,2,63,0,' uncharacterized protein',3.02740474718,51.8707514131,90.0,221.0,1.0,6.3,3.8
914,25,1X6O,A,144,1.60,0.18,X,143,143,1,15,75,' eukaryotic initiation factor 5a',2.86135383627,49.0256790686,143.0,373.0,2.0,6.3,3.8
